upper	chlamy	syphil	tetanu	lice	schist	filari	zika	measle	endoca	perica	hypogo	pancre	hyperp	hypopi	mucosi	gastri	carcin	mesoth	dement	narcol
chlamy	0.1352	0.0061	0.3947	0.1026	0.4030	0.2773	0.2597	0.1739	0.2551	0.2716	0.2576	0.4090	0.5660	0.5585	0.2041	0.4952	0.1284	0.5200	0.5982	1.0000
syphil	0.2895	0.3769	0.4194	0.1544	0.4791	0.3865	0.4133	0.3725	0.4096	0.5444	0.3542	0.5274	0.4775	0.5322	0.2801	0.5001	0.1769	0.4623	1.0000	0.5982
tetanu	0.2030	0.0046	0.2482	-0.0146	0.3739	0.3812	0.3023	0.2565	0.2604	0.2804	0.3587	0.3620	0.5988	0.5542	0.2403	0.4156	0.1986	1.0000	0.4623	0.5200
lice	0.2943	0.0497	0.0666	0.0328	0.1817	0.1583	0.2659	0.0369	0.0111	0.1489	0.1112	0.0418	0.1040	0.1675	0.2218	0.2326	1.0000	0.1986	0.1769	0.1284
schist	0.2450	0.2824	0.4202	0.2471	0.4353	0.3821	0.3957	0.2977	0.4656	0.4181	0.2054	0.4223	0.3915	0.5432	0.3491	1.0000	0.2326	0.4156	0.5001	0.4952
filari	0.2195	0.1017	0.2491	0.2039	0.2825	0.1873	0.2705	0.1880	0.1372	0.1708	0.0567	0.2319	0.3090	0.4103	1.0000	0.3491	0.2218	0.2403	0.2801	0.2041
zika	0.1771	0.2122	0.2162	0.0472	0.3968	0.2254	0.3517	0.1634	0.3324	0.2302	0.2583	0.4027	0.6563	1.0000	0.4103	0.5432	0.1675	0.5542	0.5322	0.5585
measle	0.1652	0.0619	0.2008	-0.0112	0.3107	0.2171	0.1539	0.2349	0.1819	0.1947	0.2238	0.3810	1.0000	0.6563	0.3090	0.3915	0.1040	0.5988	0.4775	0.5660
endoca	0.2064	0.1565	0.4320	0.2221	0.5754	0.5088	0.4261	0.4303	0.5303	0.4702	0.4956	1.0000	0.3810	0.4027	0.2319	0.4223	0.0418	0.3620	0.5274	0.4090
perica	0.4520	0.2256	0.3200	0.1305	0.4944	0.4347	0.4834	0.3989	0.5403	0.3885	1.0000	0.4956	0.2238	0.2583	0.0567	0.2054	0.1112	0.3587	0.3542	0.2576
hypogo	0.3982	0.4804	0.4003	0.3446	0.5384	0.5067	0.4796	0.4554	0.6132	1.0000	0.3885	0.4702	0.1947	0.2302	0.1708	0.4181	0.1489	0.2804	0.5444	0.2716
pancre	0.3630	0.3067	0.3361	0.1849	0.6483	0.6263	0.4947	0.4777	1.0000	0.6132	0.5403	0.5303	0.1819	0.3324	0.1372	0.4656	0.0111	0.2604	0.4096	0.2551
hyperp	0.2614	0.1598	0.4208	0.3113	0.4384	0.4589	0.3824	1.0000	0.4777	0.4554	0.3989	0.4303	0.2349	0.1634	0.1880	0.2977	0.0369	0.2565	0.3725	0.1739
hypopi	0.3044	0.2507	0.4182	0.3389	0.5207	0.3853	1.0000	0.3824	0.4947	0.4796	0.4834	0.4261	0.1539	0.3517	0.2705	0.3957	0.2659	0.3023	0.4133	0.2597
mucosi	0.3914	0.2032	0.3684	0.3503	0.6565	1.0000	0.3853	0.4589	0.6263	0.5067	0.4347	0.5088	0.2171	0.2254	0.1873	0.3821	0.1583	0.3812	0.3865	0.2773
gastri	0.3850	0.1118	0.4118	0.3116	1.0000	0.6565	0.5207	0.4384	0.6483	0.5384	0.4944	0.5754	0.3107	0.3968	0.2825	0.4353	0.1817	0.3739	0.4791	0.4030
carcin	0.1729	0.1761	0.5783	1.0000	0.3116	0.3503	0.3389	0.3113	0.1849	0.3446	0.1305	0.2221	-0.0112	0.0472	0.2039	0.2471	0.0328	-0.0146	0.1544	0.1026
mesoth	0.2930	0.1050	1.0000	0.5783	0.4118	0.3684	0.4182	0.4208	0.3361	0.4003	0.3200	0.4320	0.2008	0.2162	0.2491	0.4202	0.0666	0.2482	0.4194	0.3947
dement	0.2929	1.0000	0.1050	0.1761	0.1118	0.2032	0.2507	0.1598	0.3067	0.4804	0.2256	0.1565	0.0619	0.2122	0.1017	0.2824	0.0497	0.0046	0.3769	0.0061
narcol	1.0000	0.2929	0.2930	0.1729	0.3850	0.3914	0.3044	0.2614	0.3630	0.3982	0.4520	0.2064	0.1652	0.1771	0.2195	0.2450	0.2943	0.2030	0.2895	0.1352
